Date,Salinity,Station
7/6/2017 23:15,0.87,Mid
7/6/2017 23:30,0.86,Mid
7/6/2017 23:45,0.86,Mid
7/7/2017 0:00,0.87,Mid
7/7/2017 0:15,0.86,Mid
7/7/2017 0:30,0.86,Mid
7/7/2017 0:45,0.86,Mid
7/7/2017 1:00,0.86,Mid
7/7/2017 1:15,0.86,Mid
7/7/2017 1:30,0.86,Mid
7/7/2017 1:45,0.87,Mid
7/7/2017 2:00,0.86,Mid
7/7/2017 2:15,0.87,Mid
7/7/2017 2:30,0.87,Mid
7/7/2017 2:45,0.87,Mid
7/7/2017 3:00,0.87,Mid
7/7/2017 3:15,0.87,Mid
7/7/2017 3:30,0.87,Mid
7/7/2017 3:45,0.86,Mid
7/7/2017 4:00,0.87,Mid
7/7/2017 4:15,0.87,Mid
7/7/2017 4:30,0.86,Mid
7/7/2017 4:45,0.86,Mid
7/7/2017 5:00,0.86,Mid
7/7/2017 5:15,0.86,Mid
7/7/2017 5:30,0.87,Mid
7/7/2017 5:45,0.87,Mid
7/7/2017 6:00,0.86,Mid
7/7/2017 6:15,0.86,Mid
7/7/2017 6:30,0.87,Mid
7/7/2017 6:45,0.86,Mid
7/7/2017 7:00,0.87,Mid
7/7/2017 7:15,0.86,Mid
7/7/2017 7:30,0.87,Mid
7/7/2017 7:45,0.87,Mid
7/7/2017 8:00,0.87,Mid
7/7/2017 8:15,0.88,Mid
7/7/2017 8:30,0.87,Mid
7/7/2017 8:45,0.87,Mid
7/7/2017 9:00,0.88,Mid
7/7/2017 9:15,0.89,Mid
7/7/2017 9:30,0.9,Mid
7/7/2017 9:45,0.91,Mid
7/7/2017 10:00,0.92,Mid
7/7/2017 10:15,0.91,Mid
7/7/2017 10:30,0.93,Mid
7/7/2017 10:45,0.92,Mid
7/7/2017 11:00,0.93,Mid
7/7/2017 11:15,0.94,Mid
7/7/2017 11:30,0.93,Mid
7/7/2017 11:45,0.94,Mid
7/7/2017 12:00,0.94,Mid
7/7/2017 12:15,0.93,Mid
7/7/2017 12:30,0.93,Mid
7/7/2017 12:45,0.93,Mid
7/7/2017 13:00,0.92,Mid
7/7/2017 13:15,0.92,Mid
7/7/2017 13:30,0.93,Mid
7/7/2017 13:45,0.92,Mid
7/7/2017 14:00,0.92,Mid
7/7/2017 14:15,0.92,Mid
7/7/2017 14:30,0.93,Mid
7/7/2017 14:45,0.91,Mid
7/7/2017 15:00,0.92,Mid
7/7/2017 15:15,0.92,Mid
7/7/2017 15:30,0.92,Mid
7/7/2017 15:45,0.91,Mid
7/7/2017 16:00,0.91,Mid
7/7/2017 16:15,0.91,Mid
7/7/2017 16:30,0.91,Mid
7/7/2017 16:45,0.91,Mid
7/7/2017 17:00,0.92,Mid
7/7/2017 17:15,0.91,Mid
7/7/2017 17:30,0.91,Mid
7/7/2017 17:45,0.91,Mid
7/7/2017 18:00,0.91,Mid
7/7/2017 18:15,0.91,Mid
7/7/2017 18:30,0.92,Mid
7/7/2017 18:45,0.91,Mid
7/7/2017 19:00,0.91,Mid
7/7/2017 19:15,0.91,Mid
7/7/2017 19:30,0.91,Mid
7/7/2017 19:45,0.91,Mid
7/7/2017 20:00,0.91,Mid
7/7/2017 20:15,0.92,Mid
7/7/2017 20:30,0.92,Mid
7/7/2017 20:45,0.91,Mid
7/7/2017 21:00,0.91,Mid
7/7/2017 21:15,0.92,Mid
7/7/2017 21:30,0.91,Mid
7/7/2017 21:45,0.91,Mid
7/7/2017 22:00,0.91,Mid
7/7/2017 22:15,0.91,Mid
7/7/2017 22:30,0.91,Mid
7/7/2017 22:45,0.91,Mid
7/7/2017 23:00,0.91,Mid
7/7/2017 23:15,0.91,Mid
7/7/2017 23:30,0.91,Mid
7/7/2017 23:45,0.92,Mid
7/8/2017 0:00,0.92,Mid
7/8/2017 0:15,0.92,Mid
7/8/2017 0:30,0.93,Mid
7/8/2017 0:45,0.92,Mid
7/8/2017 1:00,0.93,Mid
7/8/2017 1:15,0.92,Mid
7/8/2017 1:30,0.92,Mid
7/8/2017 1:45,0.92,Mid
7/8/2017 2:00,0.93,Mid
7/8/2017 2:15,0.92,Mid
7/8/2017 2:30,0.93,Mid
7/8/2017 2:45,0.93,Mid
7/8/2017 3:00,0.93,Mid
7/8/2017 3:15,0.93,Mid
7/8/2017 3:30,0.93,Mid
7/8/2017 3:45,0.93,Mid
7/8/2017 4:00,0.92,Mid
7/8/2017 4:15,0.92,Mid
7/8/2017 4:30,0.93,Mid
7/8/2017 4:45,0.94,Mid
7/8/2017 5:00,0.92,Mid
7/8/2017 5:15,0.92,Mid
7/8/2017 5:30,0.92,Mid
7/8/2017 5:45,0.92,Mid
7/8/2017 6:00,0.92,Mid
7/8/2017 6:15,0.93,Mid
7/8/2017 6:30,0.92,Mid
7/8/2017 6:45,0.92,Mid
7/8/2017 7:00,0.93,Mid
7/8/2017 7:15,0.92,Mid
7/8/2017 7:30,0.92,Mid
7/8/2017 7:45,0.92,Mid
7/8/2017 8:00,0.92,Mid
7/8/2017 8:15,0.92,Mid
7/8/2017 8:30,0.92,Mid
7/8/2017 8:45,0.92,Mid
7/8/2017 9:00,0.93,Mid
7/8/2017 9:15,0.93,Mid
7/8/2017 9:30,0.93,Mid
7/8/2017 9:45,0.93,Mid
7/8/2017 10:00,0.94,Mid
7/8/2017 10:15,0.94,Mid
7/8/2017 10:30,0.93,Mid
7/8/2017 10:45,0.93,Mid
7/8/2017 11:00,0.92,Mid
7/8/2017 11:15,0.92,Mid
7/8/2017 11:30,0.92,Mid
7/8/2017 11:45,0.93,Mid
7/8/2017 12:00,0.93,Mid
7/8/2017 12:15,0.93,Mid
7/8/2017 12:30,0.93,Mid
7/8/2017 12:45,0.93,Mid
7/8/2017 13:00,0.93,Mid
7/8/2017 13:15,0.94,Mid
7/8/2017 13:30,0.94,Mid
7/8/2017 13:45,0.93,Mid
7/8/2017 14:00,0.93,Mid
7/8/2017 14:15,0.92,Mid
7/8/2017 14:30,0.92,Mid
7/8/2017 14:45,0.92,Mid
7/8/2017 15:00,0.92,Mid
